"id","cond","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","scan","post1","post2","post3","post4","post5","post6","post7","post8","post9","post10","post11","post12","post13","post14","post15","post16","post17","post18","post19","post20","post21","post22","post23","post24","post25","post26","post27","post28","post29","postc1","postc2","postc3","postc4","postc5","postc6","postc7","postc8","postc9","postc10","postc11","postc12","age","sex","sleepr","sleepd","score"
"C1","No-reward",5,1,3,3,2,4,4,2,5,2,4,1,4,2,3,3,4,2,5,2,"KM13121601",5,4,4,6,6,6,6,2,6,6,2,6,1,6,7,5,7,2,1,1,7,1,6,1,4,2,5,2,5,-2,2,-2,-2,1,2,2,-2,2,2,2,-2,22,"F",6,6,31
"C10","No-reward",2,2,4,1,4,1,3,3,5,3,2,3,4,2,4,2,3,3,5,3,"KM13122004",3,4,3,6,2,6,6,2,6,4,4,4,1,5,6,5,5,4,2,4,2,2,5,2,5,2,4,4,2,2,-2,0,1,2,-2,2,-2,1,1,2,-2,21,"F",6,7,30
"C21","No-reward",1,5,4,2,5,1,1,5,5,2,1,5,5,1,5,1,1,5,5,2,"KM14051202",1,7,1,6,2,6,7,1,7,1,7,2,1,7,7,5,6,3,1,2,1,7,6,2,7,1,1,7,1,2,-2,-2,2,2,-2,2,-2,-1,2,2,-2,21,"M",4,7,30
"C22","No-reward",4,3,4,2,4,2,2,4,5,3,4,3,4,2,4,2,2,4,5,3,"KM14051204",5,3,5,6,2,6,6,2,6,3,5,3,1,4,6,5,5,3,2,2,5,3,5,3,5,3,3,5,1,1,-1,-2,0,2,-1,2,-2,-1,1,2,-1,18,"F",6,6,33
"C230","No-reward",2,4,3,2,5,1,1,5,5,2,2,4,3,2,5,1,1,5,5,2,"KM14051601",4,6,3,4,4,4,6,2,6,4,4,4,1,4,7,7,6,2,2,5,3,5,6,2,6,2,4,4,5,1,-1,-1,1,-1,-1,2,-2,-1,2,1,-2,21,"M",5,6,29
"C24","No-reward",2,4,4,2,5,1,2,4,5,1,2,4,3,3,5,1,2,4,5,1,"KM14051304",1,6,2,5,3,5,7,1,7,1,6,1,1,4,7,5,6,3,2,2,2,5,4,4,7,1,2,5,1,2,-2,0,2,2,-2,2,-2,0,2,2,-2,22,"M",6,8,31
"C25","No-reward",2,3,4,2,4,2,3,3,5,2,3,3,3,2,4,2,2,3,5,2,"KM14051403",2,5,3,6,2,6,6,2,6,2,4,3,1,5,7,6,5,4,2,2,2,2,2,2,5,2,2,2,1,1,-2,0,1,1,-2,2,-2,0,2,2,-2,19,"M",8,4,32
"C26","No-reward",5,1,2,4,3,2,4,2,5,2,5,1,2,4,3,3,4,2,5,2,"KM14051404",6,3,4,3,3,5,5,2,5,5,2,5,1,6,7,2,7,1,1,2,7,1,2,5,5,4,5,3,1,-2,1,0,2,-1,-1,-1,-2,-2,0,0,-1,18,"F",5,6,32
"C27","No-reward",4,2,3,1,5,2,4,2,5,2,3,1,3,1,5,1,3,1,5,2,"KM14051503",5,1,5,6,1,6,7,1,7,6,1,6,1,5,7,1,7,1,1,1,5,1,5,1,7,1,5,1,1,-2,-1,-2,2,-1,-1,2,-2,0,2,2,-2,21,"M",6,8,34
"C28","No-reward",2,4,4,2,4,2,2,4,5,2,1,5,5,1,4,2,1,5,5,2,"KM14051504",3,6,2,7,2,7,7,2,7,3,6,3,1,5,6,2,6,2,3,2,1,6,6,2,6,2,2,6,1,2,-2,0,-1,2,-2,2,-2,1,-1,2,-2,21,"F",7,9,27
