"id"	"cond"	"match"	"fMRI"	"a1"	"a2"	"a3"	"a4"	"a5"	"a6"	"a7"	"a8"	"a9"	"a10"	"b1"	"b2"	"b3"	"b4"	"b5"	"b6"	"b7"	"b8"	"b9"	"b10"	"scan"	"pre1"	"pre2"	"pre3"	"pre4"	"pre5"	"pre6"	"pre7"	"pre8"	"pre9"	"pre10"	"pre11"	"pre12"	"pre13"	"pre14"	"pre15"	"exp"	"post1"	"post2"	"post3"	"post4"	"post5"	"post6"	"post7"	"post8"	"post9"	"post10"	"post11"	"post12"	"post13"	"post14"	"post15"	"post16"	"post17"	"post18"	"post19"	"post20"	"post21"	"post22"	"post23"	"post24"	"post25"	"post26"	"post27"	"post28"	"post29"	"postc1"	"postc2"	"postc3"	"postc4"	"postc5"	"postc6"	"postc7"	"postc8"	"postc9"	"postc10"	"postc11"	"postc12"	"age"	"sex"	"sleepr"	"sleepd"	"Easy"	"Mid"	"Dif"	"IAT"	"score"	"orderedcond"	"c1"	"c2"	"c3"	"c4"	"c5"	"c6"	"c7"	"c8"	"c9"	"c10"	"c2r"	"c4r"	"c6r"	"c8r"	"c12r"	"c34r"	"c56r"	"c78r"	"pos_im_e"	"pos_im_m"	"pos_im_h"	"pos_im_ws"	"pos_emo_e"	"pos_emo_m"	"pos_emo_h"	"pos_emo_ws"	"postc_e"	"postc_m"	"postc_h"	"postc_ws"	"postm_e"	"postm_m"	"postm_h"	"postm_ws"	"leftBeta_D"	"leftBeta_M"	"leftBeta_E"	"rightBeta_D"	"rightBeta_M"	"rightBeta_E"	"leftContrastEstimate_D"	"leftContrastEstimate_M"	"leftContrastEstimate_E"	"rightContrastEstimate_D"	"rightContrastEstimate_M"	"rightContrastEstimate_E"
"1"	"C1"	"C"	1	1	5	1	3	3	2	4	4	2	5	2	4	1	4	2	3	3	4	2	5	2	"KM13121601"	5	2	2	5	5	2	4	3	5	2	5	2	4	2	4	"No"	5	4	4	6	6	6	6	2	6	6	2	6	1	6	7	5	7	2	1	1	7	1	6	1	4	2	5	2	5	-2	2	-2	-2	1	2	2	-2	2	2	2	-2	22	"F"	6	6	"O"	"G"	"B"	""	31	"Control"	4.5	1	3.5	2.5	2.5	3.5	4	2	5	2	5	2.5	3.5	4	4.75	3	3	4	4.33333333333333	4.66666666666667	6	6	7	6.5	5	5.5	6	1	-6	-1	-6	2	6	-2	-6.6845	0.31619	-3.3847	-4.115	-0.19636	-4.7289	-6.6307	-2.3054	-2.9434	-4.5142	-2.3739	-3.614
"12"	"C3"	"C"	2	1	2	4	4	2	4	2	3	3	5	2	2	4	4	2	4	2	3	3	5	2	"KM13121701"	3	5	2	5	4	2	4	4	3	2	4	2	4	2	4	"No"	2	6	2	5	2	5	6	2	6	5	2	5	1	4	7	5	6	2	3	2	2	5	4	2	5	2	4	4	2	2	-1	2	1	1	-1	2	-2	2	1	1	-1	19	"M"	6	5	"B"	"O"	"G"	""	32	"Control"	2	4	4	2	4	2	3	3	5	2	2	4	4	3	2	4	4	3	2	5.33333333333333	6	5.33333333333333	2.5	5	5.5	4	-5	2	3	0	-6	2	4	0	6.4033	9.4861	1.9854	5.2922	6.8617	-0.18797	8.9808	11.718	4.0905	6.9223	8.3172	1.9839
"13"	"C4"	"C"	3	1	2	3	4	1	4	1	3	1	5	2	2	3	4	1	5	1	3	1	5	3	"KM13121704"	4	2	4	5	4	1	4	3	5	1	3	1	4	2	4	"No"	3	5	4	6	1	5	7	1	6	6	2	6	1	4	7	6	5	3	3	2	2	4	5	2	6	1	4	2	1	2	-2	1	-1	1	-2	2	-2	1	1	1	-2	20	"M"	7	8	"B"	"O"	"G"	""	30	"Control"	2	3	4	1	4.5	1	3	1	5	2.5	3	5	5	5	2.5	4.5	4.75	4	3.33333333333333	6	6.66666666666667	6	3	5.5	6.5	5	-5	4	3	-2	-5	2	5	-2	7.2349	11.538	-0.73478	3.8775	6.6386	-2.0505	10.018	13.423	2.8617	5.2973	7.2952	0.55438
"14"	"C5"	"C"	4	1	2	2	4	2	3	2	3	3	5	3	2	3	4	2	3	3	3	3	5	4	"KM13121801"	4	3	2	5	4	2	4	3	4	2	4	3	3	3	3	"No"	3	3	3	6	4	6	6	4	4	4	4	4	2	4	7	5	5	3	2	2	3	3	4	4	4	4	4	4	2	2	-1	0	0	2	-2	2	-2	0	1	1	-2	18	"M"	6	7	"G"	"B"	"O"	""	30	"Control"	2	2.5	4	2	3	2.5	3	3	5	3.5	2.5	4	2.5	3	2.25	4	2.75	3	3.66666666666667	5.33333333333333	4.66666666666667	4	4	4	4	4	-3	4	3	-4	-4	2	5	-3	1.5932	2.6998	-0.19877	3.4226	1.0653	-1.6568	2.2468	3.1069	0.64008	3.3321	1.6832	-0.43362
"15"	"C6"	"C"	5	1	4	2	3	3	2	4	4	2	5	3	4	2	3	3	2	4	3	3	5	4	"KM13121803"	4	2	4	4	4	2	4	3	4	2	4	2	4	2	4	"No"	6	2	6	6	2	6	5	2	6	6	2	6	1	4	6	5	6	2	4	2	5	2	5	2	3	5	5	2	1	1	2	0	-1	1	1	2	-2	0	0	1	-2	19	"F"	7	8	"G"	"B"	"O"	"r"	29	"Control"	4	2	3	3	2	4	3.5	2.5	5	3.5	4	3	2	2.5	4	3	2	3	6	6	5.66666666666667	6	5.5	5.5	3	5.5	1	3	-4	0	-4	3	4	-3	-3.054	1.1473	6.9464	-3.1051	-0.26615	2.6986	-1.713	1.7595	4.3869	-2.6789	-0.57268	1.3195
"16"	"C7"	"C"	6	1	2	2	4	2	4	2	2	3	4	3	3	3	4	2	5	1	2	3	5	3	"KM13121901"	3	3	2	5	5	1	4	4	5	1	5	2	4	3	3	"No"	3	4	3	6	2	6	6	2	6	3	4	3	1	4	7	5	5	4	1	2	3	4	6	2	6	2	4	4	1	2	-2	1	-1	2	-2	2	-2	0	2	2	-2	22	"F"	7	6	"O"	"G"	"B"	""	31	"Control"	2.5	2.5	4	2	4.5	1.5	2	3	4.5	3	2.5	4	1.5	3	2.5	4	3	2.5	3.33333333333333	6	6	3.33333333333333	3.5	6	6	4	-5	5	3	-3	-4	2	6	-4	6.4115	1.5526	1.7771	6.0477	2.0297	-1.5835	6.7088	3.7516	2.2643	6.0929	3.4081	0.13847
"17"	"C80"	"C"	7	1	5	1	5	1	4	2	5	1	5	1	4	1	5	1	3	3	5	1	5	1	"KM13122001"	2	3	3	5	4	1	4	3	4	1	4	1	4	1	4	"No"	3	6	5	7	1	7	6	1	6	4	3	4	1	6	7	5	5	4	2	2	6	5	7	1	3	1	5	1	1	2	-1	1	-2	2	-1	2	-2	0	-2	2	-2	21	"F"	4	4	"O"	"G"	"B"	"r"	28	"Control"	4.5	1	5	1	3.5	2.5	5	1	5	1	5	5	2.5	5	4.75	5	3	5	3.33333333333333	7	6.33333333333333	4.33333333333333	4.5	7	5	6	-4	6	0	-2	-4	6	2	-4	2.6833	1.178	-2.2857	1.513	2.2237	0.055894	2.5899	1.4516	-0.90798	2.0668	2.6629	0.69428
"18"	"C9"	"C"	8	1	4	2	5	1	4	1	2	4	5	3	4	2	5	1	4	2	2	4	5	4	"KM13122002"	4	1	4	5	5	1	5	3	2	2	4	1	1	5	1	"No"	5	3	4	7	1	7	6	2	6	4	3	5	1	4	7	4	5	2	1	1	4	3	6	2	6	2	4	3	1	2	-1	-2	-2	2	-2	2	-2	-2	1	2	-2	20	"F"	7	8	"B"	"O"	"G"	"r"	30	"Control"	4	2	5	1	4	1.5	2	4	5	3.5	4	5	1.5	2	4	5	2.75	2	4.66666666666667	7	6	4.66666666666667	4.5	6	6	4.5	-1	6	1	-6	-2	3	5	-6	1.6375	0.60185	7.617	2.5133	6.4965	7.4428	2.6417	2.6908	5.276	5.1222	8.7901	6.5262
"2"	"C10"	"C"	9	1	2	2	4	1	4	1	3	3	5	3	2	3	4	2	4	2	3	3	5	3	"KM13122004"	2	3	2	5	3	2	4	3	3	2	4	3	3	2	4	"No"	3	4	3	6	2	6	6	2	6	4	4	4	1	5	6	5	5	4	2	4	2	2	5	2	5	2	4	4	2	2	-2	0	1	2	-2	2	-2	1	1	2	-2	21	"F"	6	7	"B"	"O"	"G"	"r"	30	"Control"	2	2.5	4	1.5	4	1.5	3	3	5	3	2.5	1.5	1.5	3	2.25	2.75	2.75	3	3.33333333333333	6	6	4	4	5.5	5.5	4	-4	3	5	-4	-5	3	5	-3	1.1971	-1.8084	-3.4375	0.08683	-0.011431	-2.6457	0.19861	-2.1991	-2.4736	-0.24259	-0.55094	-1.7108
"3"	"C21"	"C"	10	1	1	5	4	2	5	1	1	5	5	2	1	5	5	1	5	1	1	5	5	2	"KM14051202"	5	2	4	5	5	2	5	3	5	1	5	2	2	4	2	"No"	1	7	1	6	2	6	7	1	7	1	7	2	1	7	7	5	6	3	1	2	1	7	6	2	7	1	1	7	1	2	-2	-2	2	2	-2	2	-2	-1	2	2	-2	21	"M"	4	7	"G"	"B"	"O"	""	30	"Control"	1	5	4.5	1.5	5	1	1	5	5	2	1	1.5	5	1	1	3	5	1	1	6	7	1.33333333333333	1	6	7	1	-2	2	6	-6	-3	2	6	-5	-1.0692	-1.0816	-1.3574	1.8428	-1.7644	1.6563	-1.4814	-1.6736	-1.2424	1.4392	-0.88546	0.92366
"4"	"C22"	"C"	11	1	4	3	4	2	4	2	2	4	5	3	4	3	4	2	4	2	2	4	5	3	"KM14051204"	4	2	3	5	4	2	4	3	4	1	4	2	4	3	3	"No"	5	3	5	6	2	6	6	2	6	3	5	3	1	4	6	5	5	3	2	2	5	3	5	3	5	3	3	5	1	1	-1	-2	0	2	-1	2	-2	-1	1	2	-1	18	"F"	6	6	"G"	"B"	"O"	"r"	33	"Control"	4	3	4	2	4	2	2	4	5	3	3	4	4	2	3.5	4	4	2	5	6	6	3	5	5	5	3	0	3	2	-5	-3	3	4	-4	1.7493	-9.9627	3.3619	0.063263	-6.2963	3.783	-0.77154	-8.7368	0.27205	-1.27	-5.4641	1.1228
